603,503,994,999,666,-3.29,-2.83,72.59
602,501,993,1002,665,-3.99,-3.56,72.79
602,496,993,1007,664,-3.58,-3.45,72.96
603,489,993,1005,665,-2.64,-1.98,73.37
602,483,994,1005,673,-2.95,-1.43,73.71
603,480,993,1002,678,-3.82,-1.48,74.22
601,477,995,997,682,-5.05,-1.47,74.55
605,462,1008,994,687,-4.77,-0.78,75.04
616,456,1005,989,748,-4.47,0.14,75.55
618,453,1007,981,760,-5.41,-0.23,75.52
627,453,1010,982,729,-5.85,-0.31,75.31
629,452,1011,980,723,-5.95,-0.15,74.69
628,450,1010,976,722,-6.38,-0.16,74.58
628,450,1013,979,714,-6.41,0.32,73.97
627,445,1010,979,715,-6.31,0.00,73.64
626,442,1009,977,742,-6.87,-0.27,73.65
624,442,1009,976,727,-7.04,0.19,73.83
620,442,1006,976,706,-6.99,0.22,74.17
617,436,1003,976,697,-6.77,0.21,74.87
614,434,1006,976,716,-6.82,-0.20,75.33
613,433,1009,972,733,-7.04,0.05,74.23
617,429,1008,974,708,-6.78,0.65,73.48
619,429,1001,974,700,-6.61,0.80,74.13
621,428,1001,973,690,-6.59,0.69,74.50
622,429,1001,970,723,-6.50,0.39,74.86
618,430,1002,962,722,-6.50,0.76,74.89
609,432,997,951,663,-5.87,1.18,75.14
608,433,996,948,670,-5.63,1.10,74.16
611,431,995,953,703,-6.33,0.40,73.54
611,430,992,954,687,-6.38,0.47,73.24
611,428,990,952,668,-6.19,0.32,73.19
611,427,989,949,660,-6.68,0.17,73.14
609,424,988,949,660,-5.88,0.45,73.16
613,424,994,969,664,-6.64,-0.06,73.55
619,426,996,964,656,-6.29,0.18,74.49
619,426,993,953,645,-6.20,-0.16,74.86
621,426,991,949,646,-6.37,-0.21,73.23
622,425,988,949,647,-5.94,-0.16,72.48
622,424,984,942,631,-6.13,-0.20,72.34
620,421,984,940,629,-5.62,-0.17,72.48
615,423,981,938,631,-5.69,0.32,72.79
617,432,987,944,632,-6.38,-0.21,73.79
621,435,1009,955,626,0.44,0.82,74.47
625,439,1018,955,623,13.80,1.56,74.69
632,444,1023,959,621,20.58,-0.91,76.02
640,448,1023,957,617,26.96,-4.94,78.67
644,446,1023,953,615,36.97,-7.79,79.82
645,448,1022,957,604,46.62,-12.65,82.98
646,446,1019,953,593,64.01,-16.41,84.46
647,439,1012,940,580,77.42,-18.39,81.56
662,438,1013,941,573,86.73,-20.59,76.64
686,442,1009,930,563,91.68,-26.42,72.79
707,443,1005,915,550,95.48,-35.43,68.70
722,432,994,900,541,98.68,-45.81,62.07
751,429,981,889,534,108.31,-54.72,50.18
759,428,965,878,533,116.10,-65.00,30.50
782,433,958,874,531,140.15,-73.91,-8.57
776,425,955,869,531,161.51,-73.30,-43.06
770,417,958,882,540,166.92,-69.29,-59.96
743,412,972,905,553,170.09,-63.40,-72.83
712,389,1008,986,589,142.87,-49.61,-55.89
677,385,1015,1022,592,136.49,-43.88,-57.51
669,396,1023,1023,600,114.45,-34.31,-48.17
669,403,1023,1023,677,97.57,-29.67,-40.25
661,397,1023,1003,691,74.18,-22.05,-31.86
658,388,1022,1002,718,57.36,-17.07,-25.25
657,386,1023,1004,731,50.70,-14.76,-16.40
653,383,1023,1023,737,37.70,-8.97,-4.67
653,384,1023,1009,759,32.77,-2.87,8.67
653,385,1023,1020,766,21.24,-2.35,18.89
654,387,1023,1023,781,13.15,-0.37,27.12
654,386,1023,1023,794,6.78,3.81,32.75
648,386,1023,1023,801,2.39,5.53,35.01
638,391,1023,1023,817,1.93,8.52,36.86
630,391,1022,1023,811,3.95,11.92,37.57
624,391,1021,1023,813,5.11,13.55,38.78
619,391,1023,1023,813,5.33,11.34,39.53
616,395,1023,1023,816,6.86,9.77,40.74
616,399,1023,1023,824,7.84,8.28,42.48
613,396,1023,1020,807,8.95,6.26,44.49
612,396,1023,1010,797,10.20,6.11,46.56
617,395,1023,1006,795,8.76,6.56,48.20
624,392,1023,1005,794,6.38,7.98,50.01
656,394,1023,1016,786,2.40,9.39,51.21
722,393,1023,1023,774,-1.27,11.23,52.41
785,389,1023,1023,769,-3.31,13.74,55.59
825,393,1021,1023,760,-6.86,12.26,56.99
895,404,1023,1023,755,-7.93,11.98,58.11
911,411,1023,1023,756,-9.12,9.99,58.71
914,431,1023,1023,757,-9.46,7.42,59.99
910,492,1023,1023,740,-8.17,6.09,60.00
902,574,1023,1023,742,-6.36,4.57,60.80
892,619,1023,1023,767,-2.56,5.73,61.88
894,638,1023,1023,746,-2.10,5.17,62.36
933,600,1023,1023,732,3.21,8.66,65.10
1021,520,1023,1023,732,0.87,9.91,66.49
1021,478,1023,1023,731,1.84,11.98,67.64
1021,479,1023,1023,736,2.74,11.74,68.30
1023,478,1023,1023,738,3.15,10.32,67.78
1021,471,1023,1023,736,4.24,10.33,66.69
